pl_rade,pl_radj,pl_bmasse,pl_bmassj,st_teff,pl_eqt,Pl_eh_vol,Pl_J_vol,dens_pl_ert,dens_pl_jup
2.61,0.233,22.7,0.07142,4640,422,17.779581,0.012649337,1.276749132,5279.852677
2.13,0.19,3.34,0.01051,3556,693,9.663597,0.006859,0.34562798,1432.885986
1.264,0.113,1.86,0.00585,3347,773,2.019487744,0.001442897,0.921028266,3791.318391
1.217,0.109,1.84,0.00579,3505,525,1.802485313,0.001295029,1.020815662,4180.890486
0.718,0.064,0.546,0.00172,3522,1745,0.370146232,0.000262144,1.475096886,6135.617067
1.09,0.097,1.75,0.00551,3384,568,1.295029,0.000912673,1.351324937,5645.548178
2.05,0.183,4.55,0.01432,5732,1371,8.615125,0.006128487,0.528142418,2185.040397
11.5,1.026,131.89945,0.415,5521,1228,1520.875,1.080045576,0.086726276,359.3153215
1.64,0.146,7.51,0.02363,5125,1001,4.410944,0.003112136,1.702588239,7100.270202
2.39,0.213,8.11,0.02552,5125,642,13.651919,0.009663597,0.594057369,2469.514506
3.55,0.317,19.7,0.06198,5788,769,44.738875,0.031855013,0.440334185,1819.464168
3.41,0.304,10,0.03146,5348,880,39.651821,0.028094464,0.252195945,1047.147088
3.195,0.285,8,0.02517,5348,600,32.61463987,0.023149125,0.245289318,1016.759777
2.995,0.267,2.8,0.00881,5348,540,26.86522488,0.019034163,0.104224252,432.8245102
17.318,1.545,323.23311,1.017,6272,2132,5193.895481,3.687953625,0.062233449,257.8726145
1.72,0.153,7.42,0.02335,5596,2141,5.088448,0.003581577,1.458209089,6096.524372
2.501,0.223,14.4,0.04531,5070,632,15.6437575,0.011089567,0.920497584,3820.755042
1.745,0.156,8.83,0.02778,5978,2128,5.313568625,0.003796416,1.661788105,6842.71053
0.892,0.08,3.7,0.01164,4640,701,0.709732288,0.000512,5.213248142,21259.48507
4.71,0.42,16.6,0.05223,5527,1073,104.487111,0.074088,0.158871722,659.2374587
2,0.178,8.32,0.02618,4684,543,8,0.005639752,1.04000296,4340.895761
1.87,0.167,3.41,0.01073,4684,467,6.539203,0.004657463,0.521471761,2154.368698
0.75,0.067,0.55,0.00173,4684,909,0.421875,0.000300763,1.303707415,5378.874568
0.818,0.073,0.72,0.00227,4684,723,0.547343432,0.000389017,1.315448414,5456.661315
1.137,0.101,0.77,0.00242,4684,630,1.469878353,0.001030301,0.523854365,2196.448205
1.24,0.111,2.14,0.00673,3803,709,1.906624,0.001367631,1.122405934,4601.674015
1.533,0.137,3.09,0.00972,3803,557,3.602686437,0.002571353,0.857695736,3534.876827
16.141,1.44,371.8611,1.17,6801,2061,4205.245091,2.985984,0.088428177,366.4106661
2.199,0.196,18.496,0.05819,6120,881,10.6334866,0.007529536,1.739415617,7226.863718
4.23,0.377,7.943,0.02499,6120,585,75.686967,0.053582633,0.104945712,436.1259489
3.25,0.29,5.681,0.01787,6120,506,34.328125,0.024389,0.165491595,685.173063
9.718,0.867,77.55052,0.244,6089,876,917.7632942,0.651714363,0.084499719,350.1081784
2.45,0.219,7.8,0.02454,6203,943,14.706125,0.010503459,0.530392758,2184.801251
2.99,0.267,10.8,0.03398,5534,911,26.730899,0.019034163,0.404027966,1669.395784
2.79,0.249,10.2,0.03209,4511,714,21.717639,0.015438249,0.46966565,1943.754437
2.39,0.213,9.7,0.03052,4511,498,13.651919,0.009663597,0.710524843,2953.353555
2.16,0.193,7.25,0.02281,5863,1311,10.077696,0.007189057,0.719412516,2967.037806
1.35,0.12,7.8,0.02454,5987,2042,2.460375,0.001728,3.170257462,13280.07544
3.228,0.288,19.2,0.06041,5987,1344,33.63570835,0.023887872,0.570823556,2364.836361
22.754,2.03,1021.18779,3.213,4590,1411,11780.75872,8.365427,0.086682931,359.1636147
3,0.268,379,1.19247,5991,1060,27,0.019248832,14.03707699,57931.23696
2.74,0.244,20,0.06293,5198,757,20.570824,0.014526784,0.972253563,4050.960184
1.39,0.124,4.6,0.01447,3800,965,2.685619,0.001906624,1.712831602,7096.973728
0.85,0.076,0.4,0.00126,3415,627,0.614125,0.000438976,0.651335052,2684.104933
1.385,0.124,2.22,0.00698,3415,553,2.656741625,0.001906624,0.835612428,3423.419255
1.521,0.136,1.94,0.0061,3415,416,3.518743761,0.002515456,0.551334696,2267.685545
1.242,0.111,2.33,0.00733,3381,595,1.915864488,0.001367631,1.216164633,5011.92727
1.088,0.097,8.7,0.02737,3643,617,1.287913472,0.000912673,6.755131423,28043.31282
4.7,0.419,30.8,0.09691,3950,700,103.823,0.073560059,0.296659581,1231.958977
1.32,0.118,13.2,0.04153,2850,396,2.299968,0.001643032,5.739226621,23636.63403
1.305,0.116,2.87,0.00903,3340,424,2.222447625,0.001560896,1.291372691,5409.828587
1.147,0.102,1.54,0.00485,3340,508,1.509003523,0.001061208,1.020543929,4273.768022
1.332,0.119,2.62,0.00824,3331,892,2.363266368,0.001685159,1.108638236,4572.524587
2.3,0.205,8.6,0.02706,3331,353,12.167,0.008615125,0.706831962,2937.216309
4.72,0.421,29.32,0.09225,5443,1978,105.154048,0.074618461,0.278829812,1156.085114
9.158,0.817,109.33352,0.344,5050,435,768.0719723,0.545338513,0.142348419,589.8777226
11.994,1.07,947.12865,2.98,5980,688,1725.409296,1.225043,0.548931403,2274.755129
12.52,1.117,617.22586,1.942,5788,974,1962.515008,1.393668613,0.314508482,1303.045042
2.265,0.202,10.15,0.03194,5328,1077,11.61995963,0.008242408,0.873499497,3623.685727
2.587,0.231,13.5,0.04248,4734,784,17.313676,0.012326391,0.779732647,3222.68821
2.651,0.237,2.5,0.00787,4734,634,18.63070045,0.013312053,0.1341875,552.8399464
1.791,0.16,9.95,0.03131,3875,1323,5.744956671,0.004096,1.731958811,7148.136572
14.572,1.3,1064.72516,3.35,6311,1728,3094.264877,2.197,0.3440973,1425.884907
16.814,1.5,309.56642,0.974,4250,637,4753.495961,3.375,0.065124133,269.8701818
2.415,0.215,6.28,0.01976,3476,703,14.08482338,0.009938375,0.445871255,1859.264951
3.65,0.326,15.4,0.04845,3553,330,48.627125,0.034645976,0.316696573,1307.707767
1.694,0.151,5.9,0.01856,3997,775,4.861163384,0.003442951,1.213704689,5041.001793
3.01,0.269,8.1,0.02549,5151,955,27.270901,0.019465109,0.297020735,1224.567467
2.51,0.224,8.8,0.02769,5151,860,15.813251,0.011239424,0.556496893,2303.820416
3.51,0.313,5.3,0.01668,5151,586,43.243551,0.030664297,0.122561977,508.6660537
3.78,0.337,14.8,0.04657,5151,462,54.010152,0.038272753,0.274023338,1137.853258
2.726,0.243,9.5,0.02989,5320,1037,20.25711318,0.014348907,0.468972403,1947.945564
2.759,0.246,6.63,0.02086,5320,828,21.00173148,0.014886936,0.315689155,1310.324027
2.93,0.261,13.6,0.04279,5320,638,25.153757,0.017779581,0.540676238,2250.559433
11.456,1.022,140.16233,0.441,4775,963,1503.484707,1.067462648,0.093225244,386.3275002
2.41,0.215,8.56,0.02693,4227,871,13.997521,0.009938375,0.611538598,2533.907142
2.76,0.246,13.2,0.04153,4227,651,21.024576,0.014886936,0.627838467,2608.713176
3.12,0.278,11.84,0.03725,4227,499,30.371328,0.021484952,0.389842476,1621.293387
2.37,0.211,13.5,0.04248,3600,413,13.312053,0.009393931,1.014121445,4228.699886
1.56,0.139,2.2,0.00692,3600,344,3.796416,0.002685619,0.579495572,2409.524883
9.1,0.812,96.4,0.30331,5300,919,753.571,0.535387328,0.127924608,529.7712222
4.14,0.369,24.6,0.0774,4985,961,70.957944,0.050243409,0.346685214,1440.560771
5.24,0.467,42,0.13215,5225,1266,143.877824,0.101847563,0.291915171,1213.350428
13.798,1.231,94.71287,0.298,5603,1562,2626.929526,1.865409391,0.036054694,149.3866634
9.427,0.841,113.14691,0.356,5889,1388,837.7617375,0.594823321,0.135058964,559.6696191
